diesel,year,month,day
779930.57,2020,7,1
791258.19,2020,8,1
1021360.83,2020,9,1
891340.69,2020,10,1
1152909.51,2020,11,1
1050560.83,2020,12,1
1185644.96,2021,1,1
1076824.67,2021,2,1
1345110.18,2021,3,1
1250171.58,2021,4,1
1279017.24,2021,5,1
1440106.47,2021,6,1
1110409.53,2021,7,1
1175960.64,2021,8,1
896539.24,2021,9,1
1542473.57,2021,10,1
1029780.8,2021,11,1
1294042.31,2021,12,1
1438571.28,2022,1,1
1217495.31,2022,2,1
1246975.12,2022,3,1
1284453.73,2022,4,1
1306786.77,2022,5,1
1032070.53,2022,6,1
1116548.97,2022,7,1
1299910.96,2022,8,1
1077517.9,2022,9,1
980527.08,2022,10,1
1136760.55,2022,11,1
1082107.64,2022,12,1
1442099.08,2023,1,1
1267967.39,2023,2,1
1317519.91,2023,3,1
1417182.73,2023,4,1
1428099.62,2023,5,1
